Municipality,Municipality District,Community,Condo Corp#,Building Name,Unit #,Apt/Unit #,Street #,Street Name,Address,Postal Code,Bedrooms,Bedrooms +,Beds,Bedrooms Total,WR,Balcony,Type,SqFt,Approx Age,Status,Exposure,Parking Included,Total Parking Spaces,Locker,Building Amenities,Maintenance,Taxes,MLS#,Listing Entry Date,Original Price,Price,List Price,Sold Price,% Listing Price,Sold Date,Closed Date,DOM,Square Foot Source,Suspended Date,Suspended Entry Date,Terminated Date,Terminated Entry Date,PIN#,Assessment Roll #,List Brokerage,Contract Date,Co-Operating Brokerage,Last Update Date,Full Address,location,Latitude,Longitude
Toronto,Toronto C01,Waterfront Communities C1,2181,,6,1406,215,Fort York,215 Fort York Blvd 1406‚ Toronto,M5V 4A2,0,,0,0,1,,Condo Apt‚ Apartment,0-499,,EXP,Sw,,0,,"Concierge, Exercise Room, Gym, Indoor Pool, Party/Meeting Room, Security Guard",278.46,1292.57,C6788884,9/5/2023,520000,485000,485000,,,,,117,As Per Builder,,,,,761810531,1.91E+14,TRADEWORLD REALTY INC BROKERAGE,9/5/2023,,1/1/2024,"215 Fort York st, Toronto, ON, Canada","215 Fort York Blvd, Toronto, ON M5V 4A2, Canada",43.6366434,-79.4046054
Toronto,Toronto C01,Waterfront Communities C1,2921,,6,1306,458,Richmond,458 Richmond St W 1306‚ Toronto,M5V 0S9,1,,1,1,1,,Condo Apt‚ Apartment,0-499,0-5,SUS,S,,0,,"Gym, Party/Meeting Room",417.92,2558.85,C7309586,11/19/2023,498000,498000,498000,,,,,43,From Builder,1/1/2024,1/1/2024,,,212390497,1.90E+14,CENTURY 21 LANDUNION REALTY INC.,11/19/2023,,1/1/2024,"458 Richmond st, Toronto, ON, Canada","458 Richmond St W, Toronto, ON M5V 1Y1, Canada",43.64795,-79.3975307
Toronto,Toronto C01,Waterfront Communities C1,2562,Local At Fort York,9,710,50,Bruyeres,50 Bruyeres Mews 710‚ Toronto,M5V 0H8,1,,1,1,1,Open,Condo Apt‚ Apartment,500-599,2024-06-10 0:00,Sold,N,,0,Owned,"Gym, Party/Meeting Room, Security Guard, Security System, Visitor Parking",438.5,1845.5,C7340508,12/5/2023,449000,500000,510000,500000,98,12/29/2023,2/1/2024,24,Floor Plan,,,,,214180264,,PSR,12/5/2023,"RE/MAX PREMIER INC., BROKERAGE",1/2/2024,"50 Bruyeres st, Toronto, ON, Canada","50 Bruyeres Mews, Toronto, ON M5V 0H8, Canada",43.6376722,-79.4021383
Toronto,Toronto C01,Waterfront Communities C1,2206,,7,1008,375,King,375 King St W 1008‚ Toronto,M5V 1K5,1,,1,1,1,Open,Condo Apt‚ Apartment,500-599,2024-11-15 0:00,Sold,N,,0,,"Bbqs Allowed, Concierge, Exercise Room, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",397.84,2298.6,C7337060,12/2/2023,519000,510000,519000,510000,98,12/15/2023,1/31/2024,13,Per Builer,,,,,214130176,,CENTURY 21 KING`S QUAY REAL ESTATE INC.,12/2/2023,"RE/MAX WEST REALTY INC., BROKERAGE",1/3/2024,"375 King st, Toronto, ON, Canada","375 King St W, Toronto, ON M5V 1K5, Canada",43.6457486,-79.3930826
Toronto,Toronto C01,Waterfront Communities C1,2691,Exchange Condo,22,301,90,Queens Wharf,90 Queens Wharf Rd 301‚ Toronto,M5V 0J4,1,,1,1,1,Open,Condo Apt‚ Apartment,500-599,0-5,Sold,N,,0,,"Concierge, Indoor Pool, Party/Meeting Room, Security Guard, Visitor Parking",376.7,1865.57,C7328618,11/28/2023,498000,513888,528000,513888,97,1/2/2024,1/26/2024,35,490Sf + 83Sf Balcony Per Builder,,,,,766910052,1.90E+14,YOUR HOME SOLD GUARANTEED REALTY TEAM PRIS HAN CORP.,11/28/2023,"CENTURY 21 PEOPLE`S CHOICE REALTY INC., BROKERAGE",1/3/2024,"90 Queens Wharf st, Toronto, ON, Canada","90 Queens Wharf Rd, Toronto, ON M5V 0E6, Canada",43.6388091,-79.3997521
Toronto,Toronto C01,Little Portugal,2249,Westside Gallery Lots,5,2005,150,Sudbury,150 Sudbury St 2005‚ Toronto,M6J 3S8,1,1,1Ã‚Â +Ã‚Â 1,2,1,Open,Condo Apt‚ Apartment,500-599,2024-11-15 0:00,EXP,E,Y,1,Owned,"Exercise Room, Guest Suites, Indoor Pool, Party/Meeting Room, Visitor Parking",381.98,2040,C6739054,8/13/2023,579990,529990,529990,,,,,140,As Per Floor Plan,,,,,762490363,1.90E+14,PREMIER MATRIX REALTY LTD.,8/13/2023,,1/1/2024,"150 Sudbury st, Toronto, ON, Canada","150 Sudbury St, Toronto, ON M6J 3S8, Canada",43.6415413,-79.4240738
Toronto,Toronto C01,Bay Street Corridor,1866,,14,514,763,Bay,763 Bay St 514‚ Toronto,M5G 2R3,0,,0,0,1,,Condo Apt‚ Bachelor/Studio,0-499,,EXP,N,,0,Owned,"Bike Storage, Concierge, Gym, Indoor Pool",362.13,2262,C7033208,9/26/2023,538000,538000,538000,,,,,97,Per Floor Plan,,,,,211030185,,HOMELIFE BROADWAY REALTY INC.,9/25/2023,,1/1/2024,"763 Bay st, Toronto, ON, Canada","763 Bay St., Toronto, ON M5G 2R3, Canada",43.6599948,-79.3851994
Toronto,Toronto C01,Kensington-Chinatown,1318,,86,123,71,Mccaul,71 Mccaul St 123‚ Toronto,M5T 2X1,1,,1,1,1,Terr,Condo Apt‚ Apartment,500-599,,TER,E,,0,,"Bbqs Allowed, Exercise Room, Gym, Outdoor Pool, Party/Meeting Room, Recreation Room",527.36,2066.79,C6677208,7/19/2023,539900,539900,539900,,,,,170,Owner,,,1/5/2024,1/5/2024,123180086,1.90E+14,ICI SOURCE REAL ASSET SERVICES INC.,7/19/2023,,1/5/2024,"71 Mccaul st, Toronto, ON, Canada","71 McCaul St, Toronto, ON M5T 2X1, Canada",43.6525053,-79.390494
Toronto,Toronto C01,Waterfront Communities C1,2691,,24,1815,80,Queens Wharf,80 Queens Wharf Rd 1815‚ Toronto,M5V 0J3,1,,1,1,1,Open,Comm Element Condo‚ Apartment,500-599,0-5,Sold,W,,0,,"Bbqs Allowed, Concierge, Exercise Room, Indoor Pool, Party/Meeting Room, Visitor Parking",437,2032,C7301614,11/15/2023,580000,540000,565000,540000,96,1/1/2024,2/1/2024,47,537 Sf + 39 Sf Balcony = 576 Sf Total,,,,,766910412,1.90E+14,BENCHMARK SIGNATURE REALTY INC.,11/15/2023,"RE/MAX HALLMARK REALTY LTD., BROKERAGE",1/3/2024,"80 Queens Wharf st, Toronto, ON, Canada","80 Queens Wharf Rd, Toronto, ON M5V 0J3, Canada",43.6385986,-79.400027
Toronto,Toronto C01,Waterfront Communities C1,2921,,6,806,458,Richmond,458 Richmond St W 806‚ Toronto,M5V 0S9,1,,1,1,1,,Condo Apt‚ Apartment,0-499,0-5,EXP,S,,0,Owned,"Bike Storage, Gym, Party/Meeting Room, Security System",465.15,2452,C6764712,8/23/2023,548800,548800,548800,,,,,130,As Per Builder,,,,,212390497,1.90E+14,RE/MAX WEST VICKY HSU GROUP REALTY,8/23/2023,,1/1/2024,"458 Richmond st, Toronto, ON, Canada","458 Richmond St W, Toronto, ON M5V 1Y1, Canada",43.64795,-79.3975307
Toronto,Toronto C01,Trinity-Bellwoods,2612,,2,302,109,Wolseley,109 Wolseley St 302‚ Toronto,M6J 1K1,1,1,1Ã‚Â +Ã‚Â 1,2,1,Open,Condo Apt‚ Apartment,600-699,,TER,Ne,Y,1,Owned,"Bbqs Allowed, Security System",822.38,2864.98,C7320226,11/23/2023,549000,549000,549000,,,,,43,Floor Plan,,,1/5/2024,1/5/2024,766120000,1.90E+14,HOMELIFE LANDMARK REALTY INC.,11/23/2023,,1/5/2024,"109 Wolseley st, Toronto, ON, Canada","109 Wolseley St, Toronto, ON M6J 1K1, Canada",43.6479268,-79.4045798
Toronto,Toronto C01,Waterfront Communities C1,2406,,5,2405,170,Fort York,170 Fort York Blvd 2405‚ Toronto,M5V 0E6,1,,1,1,1,Open,Condo Apt‚ Apartment,0-499,,EXP,E,,0,,"Bike Storage, Guest Suites, Gym, Party/Meeting Room, Sauna, Visitor Parking",340.42,1559.08,C6799004,9/7/2023,550000,555000,555000,,,,,115,Mpac,,,,,764060343,1.90E+14,"T-ONE GROUP REALTY INC.,",9/7/2023,,1/1/2024,"170 Fort York st, Toronto, ON, Canada","170 Fort York Blvd, Toronto, ON M5V 0E6, Canada",43.6393686,-79.3995846
Toronto,Toronto C01,Niagara,2350,The Tower At King West,4,3008,125,Western Battery,125 Western Battery Rd 3008‚ Toronto,M6K 3R8,1,,1,1,1,Open,Condo Apt‚ Apartment,500-599,,Sold,S,,0,Owned,"Concierge, Exercise Room, Gym, Party/Meeting Room, Visitor Parking",303.53,1952.18,C7365586,12/21/2023,549900,556000,549900,556000,101,1/5/2024,1/31/2024,15,Mpac,,,,,763500434,1.90E+14,RE/MAX HALLMARK REALTY LTD.,12/21/2023,"ROYAL LEPAGE REALTY CENTRE, BROKERAGE",1/5/2024,"125 Western Battery st, Toronto, ON, Canada","125 Western Battery Rd, Toronto, ON M6K 3R8, Canada",43.639879,-79.4167935
Toronto,Toronto C01,Waterfront Communities C1,2707,The Harlowe,3,603,608,Richmond,608 Richmond St W 603‚ Toronto,M5V 0N9,1,,1,1,1,,Condo Apt‚ Apartment,500-599,0-5,EXP,S,,0,Owned,,454.91,2165.39,C6810186,9/12/2023,558000,558000,558000,,,,,110,As Per Builder,,,,,767070093,1.90E+14,"INTERNATIONAL REALTY FIRM, INC.",9/12/2023,,1/1/2024,"608 Richmond st, Toronto, ON, Canada","608 Richmond St W, Toronto, ON M5V 0N9, Canada",43.6468253,-79.4029132
Toronto,Toronto C01,Niagara,2181,,11,211,215,Fort York,215 Fort York Blvd 211‚ Toronto,M5V 4A2,1,,1,1,1,Open,Condo Apt‚ Apartment,500-599,,TER,N,Y,1,Owned,,503.66,1918.87,C7029322,9/25/2023,569000,559000,559000,,,,,99,Mpac,,,1/2/2024,1/2/2024,761810047,1.90E+14,BOSLEY REAL ESTATE LTD.,9/25/2023,,1/2/2024,"215 Fort York st, Toronto, ON, Canada","215 Fort York Blvd, Toronto, ON M5V 4A2, Canada",43.6366434,-79.4046054
Toronto,Toronto C01,Niagara,2322,King West Condominiums,20,614,65,East Liberty,65 East Liberty St 614‚ Toronto,M6K 3R2,1,,1,1,1,Open,Condo Apt‚ Apartment,500-599,,TER,N,,0,Owned,"Bbqs Allowed, Concierge, Exercise Room, Indoor Pool, Party/Meeting Room, Visitor Parking",391.84,1585.35,C7354004,12/13/2023,559000,559000,559000,,,,,20,Mpac,,,1/2/2024,1/2/2024,763220000,1.90E+14,CENTURY 21 ATRIA REALTY INC.,12/13/2023,,1/2/2024,"65 East Liberty st, Toronto, ON, Canada","65 E Liberty St, Toronto, ON M6K 3R2, Canada",43.6384994,-79.4142113
Toronto,Toronto C01,Waterfront Communities C1,2510,,4410,4410,14,York,14 York St 4410‚ Toronto,M5J 0B1,1,1,1Ã‚Â +Ã‚Â 1,2,1,Open,Condo Apt‚ Apartment,500-599,,Sold,Nw,,0,,,432.72,2660,C7287444,11/9/2023,599000,560000,589000,560000,95,1/2/2024,1/26/2024,54,As Per Seller,,,,,213950229,,SUTTON GROUP - REALTY EXPERTS INC.,11/9/2023,"ROYAL LEPAGE SIGNATURE REALTY, BROKERAGE",1/2/2024,"14 York st, Toronto, ON, Canada","14 York St, Toronto, ON M5J 0B1, Canada",43.6419657,-79.3815389
Toronto,Toronto C01,Bay Street Corridor,943,,1,2101,25,Grenville,25 Grenville St 2101‚ Toronto,M4Y 2X5,1,1,1Ã‚Â +Ã‚Â 1,2,1,,Condo Apt‚ Apartment,700-799,,TER,N,,0,,"Concierge, Gym, Party/Meeting Room, Rooftop Deck/Garden, Sauna, Squash/Racquet Court",816.5,2105.43,C7244508,10/24/2023,499999,569888,569888,,,,,70,As Per Floor Plan,,,1/2/2024,1/2/2024,119430000,1.90E+14,ROYAL LEPAGE TERREQUITY REALTY,10/24/2023,,1/2/2024,"25 Grenville st, Toronto, ON, Canada","25 Grenville St, Toronto, ON M4Y 2X5, Canada",43.6617585,-79.3846976
Toronto,Toronto C01,Waterfront Communities C1,2517,,14,514,199,Richmond,199 Richmond St W 514‚ Toronto,M5V 0H4,1,,1,1,1,Open,Condo Apt‚ Apartment,500-599,0-5,TER,S,,0,Owned,"Concierge, Exercise Room, Gym, Party/Meeting Room, Security Guard, Visitor Parking",458.98,2112.09,C7301798,11/15/2023,575000,575000,575000,,,,,49,Sq. Ft.,,,1/3/2024,1/3/2024,214110266,,CENTURY 21 PARKLAND LTD.,11/15/2023,,1/3/2024,"199 Richmond st, Toronto, ON, Canada","199 Richmond St W, Toronto, ON M5V 0H4, Canada",43.6495729,-79.3880901
Toronto,Toronto C01,Niagara,2307,The Garrison At Fort York,8,909,169,Fort York,169 Fort York Blvd 909‚ Toronto,M5V 0C8,1,,1,1,1,Open,Condo Apt‚ Apartment,600-699,2024-06-10 0:00,EXP,E,,1,Owned,"Concierge, Gym, Rooftop Deck/Garden, Security Guard, Visitor Parking",445.15,2205.37,C7028266,9/25/2023,589000,575000,575000,,,,,97,603 Floor Plan,,,,,763070207,1.90E+14,CHESTNUT PARK REAL ESTATE LIMITED,9/25/2023,,1/1/2024,"169 Fort York st, Toronto, ON, Canada","169 Fort York Blvd, Toronto, ON M5V 0C8, Canada",43.6384989,-79.4009491
Toronto,Toronto C01,Waterfront Communities C1,2510,Ice Condos 2,909,909,14,York,14 York St 909‚ Toronto,M5J 2Z2,1,1,1Ã‚Â +Ã‚Â 1,2,1,Jlte,Condo Apt‚ Apartment,500-599,2024-06-10 0:00,TER,N,,0,,"Concierge, Exercise Room, Gym, Indoor Pool, Recreation Room, Security Guard",413.87,2458.22,C7064944,10/6/2023,578000,578000,578000,,,,,90,505 Sqft As Per Floorplan,,,1/4/2024,1/4/2024,213950229,,ROYAL LEPAGE SIGNATURE REALTY,10/6/2023,,1/4/2024,"14 York st, Toronto, ON, Canada","14 York St, Toronto, ON M5J 0B1, Canada",43.6419657,-79.3815389
Toronto,Toronto C01,Waterfront Communities C1,2921,The Woodsworth,5,205,458,Richmond,458 Richmond St W 205‚ Toronto,M5V 1Y1,1,,1,1,1,,Condo Apt‚ Apartment,0-499,,EXP,S,,0,Owned,"Gym, Party/Meeting Room",484.74,3525.72,C7224154,10/17/2023,579000,579000,579000,,,,,75,Builder's Flr Plan 474,,,,,769210008,1.90E+14,FOREST HILL REAL ESTATE INC.,10/17/2023,,1/1/2024,"458 Richmond st, Toronto, ON, Canada","458 Richmond St W, Toronto, ON M5V 1Y1, Canada",43.64795,-79.3975307
Toronto,Toronto C01,Waterfront Communities C1,1549,,2,1227,250,Wellington,250 Wellington St 1227‚ Toronto,M5V 3P6,1,1,1Ã‚Â +Ã‚Â 1,2,1,Open,Condo Apt‚ Apartment,500-599,,EXP,N,Y,1,Owned,"Concierge, Exercise Room, Party/Meeting Room",597,2211.76,C7207204,10/11/2023,579800,579800,579800,,,,,82,Builder Plan,,,,,124410000,,HOMELIFE LANDMARK REALTY INC.,10/11/2023,,1/2/2024,"250 Wellington st, Toronto, ON, Canada","250 Wellington St W, Toronto, ON M5V 3P6, Canada",43.6450815,-79.3907808
Toronto,Toronto C01,Bay Street Corridor,2845,,10,3010,11,Wellesley,11 Wellesley St W 3010‚ Toronto,M4Y 1E8,0,,0,0,1,Open,Condo Apt‚ Apartment,0-499,0-5,EXP,N,Y,1,Owned,,375.24,2107.07,C7053786,10/3/2023,549900,579900,579900,,,,,89,Builders Floorplan 343 Sq Ft,,,,,211040025,,ROYAL LEPAGE VISION REALTY,10/3/2023,,1/1/2024,"11 Wellesley st, Toronto, ON, Canada","11 Wellesley St E, Toronto, ON M4Y 3A6, Canada",43.6651161,-79.3841772
Toronto,Toronto C01,Waterfront Communities C1,2450,,903,903,19,Grand Trunk,19 Grand Trunk Cres 903‚ Toronto,M5J 3A3,1,1,1Ã‚Â +Ã‚Â 1,2,1,Open,Condo Apt‚ Apartment,700-799,,Sold,N,,0,,"Exercise Room, Indoor Pool, Party/Meeting Room, Sauna, Visitor Parking",574.12,2705,C7338884,12/4/2023,620000,593000,599000,593000,99,1/4/2024,2/21/2024,31,Builder,,,,,764500000,,ROYAL LEPAGE NEW CONCEPT,12/4/2023,"HOMELIFE/GTA REALTY INC., BROKERAGE",1/5/2024,"19 Grand Trunk st, Toronto, ON, Canada","19 Grand Trunk Crescent, Toronto, ON M5J 3A3, Canada",43.6416602,-79.3827118
Toronto,Toronto C01,Niagara,2350,,1,1101,125,Western Battery,125 Western Battery Rd W 1101‚ Toronto,M6K 3R8,1,,1,1,1,Open,Condo Apt‚ Apartment,500-599,2024-06-10 0:00,TER,N,,0,Owned,"Concierge, Gym, Party/Meeting Room, Security Guard, Visitor Parking",340.01,2025.47,C7324372,11/27/2023,595000,595000,595000,,,,,38,As Per Builder,,,1/2/2024,1/2/2024,763500000,,HOMEPIN REALTY INC.,11/25/2023,,1/2/2024,"125 Western Battery st, Toronto, ON, Canada","125 Western Battery Rd, Toronto, ON M6K 3R8, Canada",43.639879,-79.4167935
Toronto,Toronto C01,Bay Street Corridor,723,,2403,2403,633,Bay,633 Bay St 2403‚ Toronto,M5G 2G4,1,1,1Ã‚Â +Ã‚Â 1,2,1,,Condo Apt‚ Apartment,800-899,,TER,N,,0,,"Bike Storage, Concierge, Exercise Room, Indoor Pool, Recreation Room, Rooftop Deck/Garden",718.13,2718,C7340630,12/5/2023,599000,599000,599000,,,,,29,800 - 899,,,1/3/2024,1/3/2024,117230415,1.90E+14,IPRO REALTY LTD.,12/5/2023,,1/3/2024,"633 Bay st, Toronto, ON, Canada","633 Bay St., Toronto, ON M5G 2G4, Canada",43.6567783,-79.3832756
Toronto,Toronto C01,Waterfront Communities C1,1955,,12,317,15,Brunel,15 Brunel Crt 317‚ Toronto,M5V 3Y6,1,1,1Ã‚Â +Ã‚Â 1,2,1,Open,Condo Apt‚ Apartment,600-699,2024-06-10 0:00,Sold,E,Y,1,Owned,"Guest Suites, Gym, Indoor Pool, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",446.24,2265.33,C7006512,9/16/2023,659000,599000,599000,599000,100,12/28/2023,2/7/2024,103,Prev. Listing,,,,,129550000,,BAY STREET GROUP INC.,9/16/2023,"CENTURY 21 ATRIA REALTY INC., BROKERAGE",1/3/2024,"15 Brunel st, Toronto, ON, Canada","15 Brunel St, Vaughan, ON L6A 0R4, Canada",43.8564274,-79.4932154
Toronto,Toronto C01,Waterfront Communities C1,1836,,13,1913,18,Yonge,18 Yonge St 1913‚ Toronto,M5E 1Z8,1,1,1Ã‚Â +Ã‚Â 1,2,2,Open,Condo Apt‚ Apartment,600-699,,Sold,W,,1,,"Exercise Room, Indoor Pool, Recreation Room, Sauna, Security Guard",500.07,2594.84,C7324864,11/27/2023,614000,610000,614000,610000,99,1/2/2024,3/4/2024,36,Mpac,,,,,128630000,,REAL BROKER ONTARIO LTD.,11/27/2023,"BRAD J. LAMB REALTY INC., BROKERAGE",1/5/2024,"18 Yonge st, Toronto, ON, Canada","18 Yonge St, Toronto, ON M5E 1Z8, Canada",43.6446048,-79.3765047
Toronto,Toronto C01,Niagara,2302,The Bridge,1,1601,38,Joe Shuster,38 Joe Shuster Way 1601‚ Toronto,M6K 0A5,1,1,1Ã‚Â +Ã‚Â 1,2,2,Open,Condo Apt‚ Apartment,700-799,,TER,Se,Y,1,,"Concierge, Guest Suites, Gym, Indoor Pool",577.78,2285,C7213190,10/12/2023,618880,618880,618880,,,,,84,Mpac,,,1/4/2024,1/5/2024,763020514,1.90E+14,PROMAXX ELITE REALTY,10/12/2023,,1/5/2024,"38 Joe Shuster st, Toronto, ON, Canada","38 Joe Shuster Way, Toronto, ON M6K 0A5, Canada",43.6405102,-79.4245603
Toronto,Toronto C01,Bay Street Corridor,2444,,1,Lph3401,75,St Nicholas,75 St Nicholas St Lph3401‚ Toronto,M4Y 0A5,0,,0,0,1,Open,Condo Apt‚ Apartment,0-499,,EXP,E,,1,,"Concierge, Gym, Media Room, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",467.2,2388.71,C6633228,7/4/2023,619880,619880,619880,,,,,180,From Builder,,,,,764440066,1.90E+14,GOLDEN LIFE REALTY LTD.,7/4/2023,,1/1/2024,"75 St Nicholas st, Toronto, ON, Canada","75 St Nicholas St, Toronto, ON M4Y 0A5, Canada",43.6677586,-79.386446
Toronto,Toronto C01,Waterfront Communities C1,288,,13,1434,33,Harbour,33 Harbour Sq 1434‚ Toronto,M5J 2G2,1,,1,1,1,Open,Condo Apt‚ Other,600-699,,Sold,Nw,Y,1,Exclusive,"Concierge, Exercise Room, Indoor Pool, Sauna, Security Guard, Security System",713.69,2551.83,C7357912,12/15/2023,650000,620000,650000,620000,95,1/3/2024,2/1/2024,19,Rfar,,,,,112880000,1.90E+14,RE/MAX METROPOLIS REALTY,12/15/2023,"DWELLY REALTY INC., BROKERAGE",1/4/2024,"33 Harbour st, Toronto, ON, Canada","33 Harbour St, Toronto, ON M5E, Canada",43.6422323,-79.3769981
